,2010 рік,2011 рік,2012 рік,2013 рік,2014 рік,2015 рік
Загальне споживання води (тис. м3),9422.6000000000004,9512.7999999999993,10144.1,10055.1,8512.7000000000007,8960
Обсяги споживання електроенергії (МВт*год),283288.65700000001,315845.79200000002,333184.50300000003,323706.83299999998,258929.35000000001,264492.86700000003
Середнє значення питомого споживання за рік (м3/кВт*год) ,0.033261480003415736,0.030118495294057926,0.030445893817576501,0.031062365618954979,0.032876535626417014,0.033876149862294772
