,2010 рік,2011 рік,2012 рік,2013 рік,2014 рік,2015 рік
Загальне споживання газу (тис. м3),223544.42999999999,238536.39300000001,227746.06200000001,204916.41699999999,170440.22099999999,140713.54800000001
Виробництво теплової енергії на продаж (Гкал),41740.529999999999,44651,41106.370000000003,36216.510000000002,33525.870000000003,30199.990000000002
Середнє значення питомого споживання за рік (м3/Гкал) ,5355.5723897133075,5342.2407784820052,5540.4080194870039,5658.0939742675364,5083.8418510839529,4659.3905494670689
