,2010 рік,2011 рік,2012 рік,2013 рік,2014 рік,2015 рік
Витрати на електроенергію (млн. доларів),8562.8799999999992,14266.559999999999,15012.07,14585.040000000001,9146.3999999999996,9567.2800000000007
Обсяги споживання електроенергії (МВт*год),283288657,315845792,333184503,323706833,258929350,264492867
Середньозважене річне значення тарифу (грн/кВт*год),2.418135647414926,3.6135507545403676,3.604506179568622,3.6045059326875561,2.8259137096663625,2.8937733129869248
