,2010 рік,2011 рік,2012 рік,2013 рік,2014 рік,2015 рік
Витрати на електроенергію (млн. доларів),8562.8799999999992,14266.559999999999,15012.07,14585.040000000001,9146.3999999999996,9567.2800000000007
Витрати на газ (млн. доларів),20.411799999999999,21.698730000000001,20.665320000000001,18.593789999999998,15.624879999999999,46.324649999999998
Витрати на воду (млн. доларів),3.0708099999999998,4.1494,4.5214999999999996,4.4019000000000004,5.7199999999999998,4.4496000000000002
Загальні витрати (млн. доларів),8586.3626099999983,14292.40813,15037.256820000001,14608.035690000002,9167.7448799999984,9618.054250000001
