,2010 рік,2011 рік,2012 рік,2013 рік,2014 рік,2015 рік
Загальне споживання води (тис. м3),9422.6000000000004,9512.7999999999993,10144.1,10055.1,8512.7000000000007,8960
Виробництво теплової енергії на продаж (Гкал),41740.529999999999,44651,41106.370000000003,36216.510000000002,33525.870000000003,30199.990000000002
Середнє значення питомого споживання за рік (м3/Гкал) ,225.74222224777694,213.04786007032317,246.77683775045085,277.63856870802846,253.91436523496631,296.68883996319198
