,2010 рік,2011 рік,2012 рік,2013 рік,2014 рік,2015 рік
Загальне споживання газу (тис. м3),223544.42999999999,238536.39300000001,227746.06200000001,204916.41699999999,170440.22099999999,140713.54800000001
Витрати на газ (млн. доларів),20.411799999999999,21.698730000000001,20.665320000000001,18.593789999999998,15.624879999999999,46.324649999999998
Середньозважене річне значення ціни на газ (грн/тис. м3),365.23925020185021,363.86447748457402,362.95371816352201,362.95364270399085,366.69466651301752,1316.8497464082136
