,2010 рік,2011 рік,2012 рік,2013 рік,2014 рік,2015 рік
Обсяг поставленої в систему води,9422.6000000000004,9512.7999999999993,10144.1,10055.1,8512.7000000000007,8960
Витрати на воду (млн. доларів),3.7081,4.1494,4.5214999999999996,4.4019000000000004,5.7199999999999998,4.4496000000000002
Середньозважене річне значення ціни на воду (грн/тис. м3),1.1805977118841933,1.308573711210159,1.3371812186394061,1.3133335322373723,2.0158116696230337,1.4898214285714289
,,,,,,

