,2010 рік,2011 рік,2012 рік,2013 рік,2014 рік,2015 рік
Обсяги споживання електроенергії (кВт*год),283288657,315845792,333184503,323706833,258929350,264492867
Виробництво теплової енергії на продаж (Гкал),41740.529999999999,44651,41106.370000000003,36216.510000000002,33525.870000000003,30199.990000000002
Середнє значення питомого споживання за рік (кВт*год/Гкал) ,6786.8965008350397,7073.6555060356986,8105.4226632028076,8938.1012416712711,7723.270119462969,8758.0448536572367
