,2010 рік,2011 рік,2012 рік,2013 рік,2014 рік,2015 рік
Виробництво теплової енергії на продаж (Гкал),41740.529999999999,44651,41106.370000000003,36216.510000000002,33525.870000000003,30199.990000000002
Середньодобове значення за рік (Гкал/добу) ,114.35761643835616,122.33150684931506,112.31248633879783,99.22331506849315,91.851698630136994,82.739698630136985
