,2010 рік,2011 рік,2012 рік,2013 рік,2014 рік,2015 рік
Загальне споживання газу (тис. м3),223544.42999999999,238536.39300000001,227746.06200000001,204916.41699999999,170440.22099999999,140713.54800000001
Середньодобове значення за рік (тис. м3/добу) ,612.45049315068491,653.52436438356165,622.25700000000006,561.41484109589032,466.95950958904109,385.51656986301373
